Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng,Dominant Pollutant
Philippines,Titay,100,Unhealthy for Sensitive Groups,1,Good,17,Good,0,Good,100,Unhealthy for Sensitive Groups,7.8703,122.5594,PM2.5 AQI Value
Pakistan,Toba Tek Singh,295,Very Unhealthy,1,Good,55,Moderate,1,Good,295,Very Unhealthy,30.9711,72.4825,PM2.5 AQI Value
United States of America,Shelbyville,45,Good,1,Good,30,Good,8,Good,45,Good,35.4987,-86.4517,PM2.5 AQI Value
United States of America,Shelbyville,45,Good,1,Good,30,Good,8,Good,45,Good,39.5352,-85.7793,PM2.5 AQI Value
United States of America,Shelbyville,45,Good,1,Good,30,Good,8,Good,45,Good,38.2067,-85.2292,PM2.5 AQI Value
China,Shizuishan,73,Moderate,1,Good,49,Good,0,Good,73,Moderate,39.2333,106.769,PM2.5 AQI Value
Thailand,Si Sa Ket,54,Moderate,0,Good,28,Good,0,Good,54,Moderate,15.1069,104.3294,PM2.5 AQI Value
India,Siddhapur,168,Unhealthy,0,Good,34,Good,0,Good,168,Unhealthy,23.9167,72.3833,PM2.5 AQI Value
Poland,Sieradz,39,Good,1,Good,30,Good,1,Good,39,Good,51.6,18.75,PM2.5 AQI Value
India,Simdega,169,Unhealthy,1,Good,86,Moderate,0,Good,169,Unhealthy,22.62,84.52,PM2.5 AQI Value
Romania,Simeria,57,Moderate,1,Good,37,Good,1,Good,57,Moderate,45.85,23.01,PM2.5 AQI Value
Croatia,Sinj,37,Good,1,Good,37,Good,0,Good,20,Good,43.7,16.6333,Ozone AQI Value
India,Sirsa,260,Very Unhealthy,1,Good,47,Good,0,Good,239,Very Unhealthy,29.5333,75.0167,PM2.5 AQI Value
India,Sirsa,260,Very Unhealthy,1,Good,47,Good,0,Good,239,Very Unhealthy,26.2667,84.7403,PM2.5 AQI Value
Ukraine,Skvyra,55,Moderate,1,Good,43,Good,0,Good,55,Moderate,49.7333,29.6833,PM2.5 AQI Value
Republic of Moldova,Slobozia,52,Moderate,1,Good,39,Good,0,Good,52,Moderate,44.5639,27.3661,PM2.5 AQI Value
Republic of Moldova,Slobozia,52,Moderate,1,Good,39,Good,0,Good,52,Moderate,46.7333,29.7,PM2.5 AQI Value
United Kingdom of Great Britain and Northern Ireland,Slough,31,Good,0,Good,27,Good,2,Good,31,Good,51.5084,-0.5881,PM2.5 AQI Value
India,Sompeta,154,Unhealthy,2,Good,83,Moderate,1,Good,154,Unhealthy,18.93,84.6,PM2.5 AQI Value
Spain,Sopelana,32,Good,0,Good,32,Good,1,Good,21,Good,43.3814,-2.9792,Ozone AQI Value
Spain,Soria,32,Good,0,Good,32,Good,0,Good,23,Good,41.7667,-2.4667,Ozone AQI Value
Uganda,Soroti,54,Moderate,2,Good,28,Good,0,Good,54,Moderate,1.715,33.6111,PM2.5 AQI Value
United States of America,South Burlington,39,Good,1,Good,39,Good,1,Good,29,Good,44.4622,-73.2202,Ozone AQI Value
United Kingdom of Great Britain and Northern Ireland,Southport,67,Moderate,0,Good,33,Good,0,Good,67,Moderate,53.6475,-3.0053,PM2.5 AQI Value
United Kingdom of Great Britain and Northern Ireland,Southport,67,Moderate,0,Good,33,Good,0,Good,67,Moderate,-27.9667,153.4,PM2.5 AQI Value
United Kingdom of Great Britain and Northern Ireland,Southport,67,Moderate,0,Good,33,Good,0,Good,67,Moderate,42.04,-76.8775,PM2.5 AQI Value
United States of America,Springville,123,Unhealthy for Sensitive Groups,3,Good,20,Good,11,Good,123,Unhealthy for Sensitive Groups,40.1638,-111.6205,PM2.5 AQI Value
United Kingdom of Great Britain and Northern Ireland,Stalybridge,55,Moderate,0,Good,32,Good,1,Good,55,Moderate,53.4834,-2.04,PM2.5 AQI Value
Serbia,Stara Pazova,69,Moderate,1,Good,33,Good,2,Good,69,Moderate,44.9833,20.1667,PM2.5 AQI Value
United States of America,Staunton,61,Moderate,2,Good,24,Good,5,Good,61,Moderate,38.1593,-79.0611,PM2.5 AQI Value
Germany,Steinen,34,Good,1,Good,29,Good,2,Good,34,Good,47.6453,7.7403,PM2.5 AQI Value
Germany,Stolberg,33,Good,1,Good,32,Good,2,Good,33,Good,50.7667,6.2333,PM2.5 AQI Value
United States of America,Stoughton,68,Moderate,3,Good,2,Good,12,Good,68,Moderate,42.1192,-71.1019,PM2.5 AQI Value
United States of America,Stoughton,68,Moderate,3,Good,2,Good,12,Good,68,Moderate,42.9237,-89.2225,PM2.5 AQI Value
Germany,Stralsund,38,Good,0,Good,38,Good,0,Good,20,Good,54.3092,13.0819,Ozone AQI Value
Denmark,Struer,43,Good,0,Good,34,Good,1,Good,43,Good,56.4856,8.5897,PM2.5 AQI Value
Turkey,Suluova,39,Good,1,Good,39,Good,0,Good,37,Good,40.8333,35.65,Ozone AQI Value
Costa Rica,San Francisco,58,Moderate,1,Good,9,Good,7,Good,58,Moderate,37.7558,-122.4449,PM2.5 AQI Value
Costa Rica,San Francisco,58,Moderate,1,Good,9,Good,7,Good,58,Moderate,9.9083,-84.0582,PM2.5 AQI Value
Costa Rica,San Francisco,58,Moderate,1,Good,9,Good,7,Good,58,Moderate,13.7,-88.1,PM2.5 AQI Value
Costa Rica,San Francisco,58,Moderate,1,Good,9,Good,7,Good,58,Moderate,30.9,-112.6,PM2.5 AQI Value
Costa Rica,San Francisco,58,Moderate,1,Good,9,Good,7,Good,58,Moderate,8.505,125.9771,PM2.5 AQI Value
Costa Rica,San Francisco,58,Moderate,1,Good,9,Good,7,Good,58,Moderate,-31.4356,-62.0714,PM2.5 AQI Value
Costa Rica,San Francisco,58,Moderate,1,Good,9,Good,7,Good,58,Moderate,10.65,124.35,PM2.5 AQI Value
Costa Rica,San Francisco,58,Moderate,1,Good,9,Good,7,Good,58,Moderate,16.8017,-89.9342,PM2.5 AQI Value
Costa Rica,San Francisco,58,Moderate,1,Good,9,Good,7,Good,58,Moderate,15.6667,-87.0333,PM2.5 AQI Value
Costa Rica,San Francisco,58,Moderate,1,Good,9,Good,7,Good,58,Moderate,14.1167,-88.3667,PM2.5 AQI Value
Italy,San Gennaro Vesuviano,45,Good,1,Good,45,Good,2,Good,16,Good,40.8667,14.5333,Ozone AQI Value
United States of America,Sanford,42,Good,1,Good,42,Good,2,Good,30,Good,28.7891,-81.2757,Ozone AQI Value
United States of America,Sanford,42,Good,1,Good,42,Good,2,Good,30,Good,35.4875,-79.177,Ozone AQI Value
United States of America,Sanford,42,Good,1,Good,42,Good,2,Good,30,Good,43.4244,-70.7573,Ozone AQI Value
India,Sankeshwar,77,Moderate,0,Good,23,Good,0,Good,77,Moderate,16.27,74.48,PM2.5 AQI Value
China,Sanmenxia,167,Unhealthy,3,Good,167,Unhealthy,1,Good,119,Unhealthy for Sensitive Groups,34.7736,111.195,Ozone AQI Value
nan,Santa Pola,33,Good,1,Good,32,Good,2,Good,33,Good,38.1897,-0.5556,PM2.5 AQI Value
Nigeria,Sapele,101,Unhealthy for Sensitive Groups,4,Good,21,Good,3,Good,101,Unhealthy for Sensitive Groups,5.8261,5.6536,PM2.5 AQI Value
Canada,Sarnia,37,Good,1,Good,33,Good,5,Good,37,Good,42.9994,-82.3089,PM2.5 AQI Value
Germany,Schneeberg,32,Good,0,Good,32,Good,1,Good,26,Good,50.5942,12.6456,Ozone AQI Value
Germany,Schopfheim,34,Good,1,Good,29,Good,2,Good,34,Good,47.65,7.8167,PM2.5 AQI Value
Germany,Schotten,33,Good,1,Good,31,Good,4,Good,33,Good,50.5,9.1167,PM2.5 AQI Value
Germany,Senden,34,Good,1,Good,34,Good,2,Good,25,Good,48.3167,10.0667,Ozone AQI Value
Germany,Senden,34,Good,1,Good,34,Good,2,Good,25,Good,51.8572,7.4828,Ozone AQI Value
Germany,Senftenberg,33,Good,0,Good,33,Good,1,Good,28,Good,51.5167,14.0167,Ozone AQI Value
Italy,Sestu,67,Moderate,1,Good,40,Good,1,Good,67,Moderate,39.2994,9.0918,PM2.5 AQI Value
Brazil,Sete Lagoas,119,Unhealthy for Sensitive Groups,4,Good,0,Good,8,Good,119,Unhealthy for Sensitive Groups,-19.4658,-44.2469,PM2.5 AQI Value
Cambodia,Svay Rieng,53,Moderate,1,Good,26,Good,0,Good,53,Moderate,11.0833,105.8,PM2.5 AQI Value
Brazil,Tamboril,34,Good,1,Good,5,Good,2,Good,34,Good,19.48,-70.6,PM2.5 AQI Value
Brazil,Tamboril,34,Good,1,Good,5,Good,2,Good,34,Good,-4.8319,-40.3208,PM2.5 AQI Value
India,Shertallai,84,Moderate,1,Good,24,Good,0,Good,84,Moderate,9.6869,76.3361,PM2.5 AQI Value
United States of America,Sherwood,61,Moderate,1,Good,29,Good,3,Good,61,Moderate,34.8507,-92.2029,PM2.5 AQI Value
United States of America,Sherwood,61,Moderate,1,Good,29,Good,3,Good,61,Moderate,45.3594,-122.8427,PM2.5 AQI Value
Italy,Siano,48,Good,1,Good,46,Good,2,Good,48,Good,40.8025,14.6944,PM2.5 AQI Value
United States of America,Signal Hill,110,Unhealthy for Sensitive Groups,4,Good,5,Good,36,Good,110,Unhealthy for Sensitive Groups,33.803,-118.1681,PM2.5 AQI Value
United States of America,Silver Spring,42,Good,1,Good,39,Good,6,Good,42,Good,39.0028,-77.0207,PM2.5 AQI Value
United States of America,Silver Spring,42,Good,1,Good,39,Good,6,Good,42,Good,40.2503,-77.0567,PM2.5 AQI Value
Portugal,Silves,36,Good,1,Good,36,Good,3,Good,19,Good,37.1869,-8.4389,Ozone AQI Value
Portugal,Silves,36,Good,1,Good,36,Good,3,Good,19,Good,-2.8389,-58.2092,Ozone AQI Value
China,Simao,20,Good,0,Good,20,Good,0,Good,11,Good,22.7807,100.9782,Ozone AQI Value
Netherlands,Simpelveld,52,Moderate,1,Good,35,Good,2,Good,52,Moderate,50.8333,5.9833,PM2.5 AQI Value
nan,Sinop,47,Good,1,Good,33,Good,0,Good,47,Good,-11.8481,-55.6492,PM2.5 AQI Value
nan,Sinop,47,Good,1,Good,33,Good,0,Good,47,Good,42.0267,35.1511,PM2.5 AQI Value
India,Sivaganga,61,Moderate,1,Good,34,Good,0,Good,61,Moderate,9.8433,78.4809,PM2.5 AQI Value
Canada,Smiths Falls,46,Good,1,Good,15,Good,6,Good,46,Good,44.9,-76.0167,PM2.5 AQI Value
United States of America,Glen Carbon,56,Moderate,2,Good,32,Good,10,Good,56,Moderate,38.758,-89.9822,PM2.5 AQI Value
Russian Federation,Goyty,71,Moderate,1,Good,45,Good,1,Good,71,Moderate,43.1642,45.6228,PM2.5 AQI Value
United States of America,Grand Haven,53,Moderate,1,Good,32,Good,5,Good,53,Moderate,43.0553,-86.2201,PM2.5 AQI Value
United States of America,Greencastle,65,Moderate,2,Good,28,Good,14,Good,65,Moderate,39.6432,-86.8418,PM2.5 AQI Value
Germany,Greifswald,49,Good,1,Good,36,Good,2,Good,49,Good,54.0833,13.3833,PM2.5 AQI Value
United States of America,Grenada,50,Good,2,Good,29,Good,4,Good,50,Good,33.7816,-89.813,PM2.5 AQI Value
United States of America,Griffin,78,Moderate,3,Good,11,Good,27,Good,78,Moderate,33.2418,-84.2748,PM2.5 AQI Value
United States of America,Groves,27,Good,1,Good,23,Good,5,Good,27,Good,29.9457,-93.9164,PM2.5 AQI Value
India,Gua,162,Unhealthy,2,Good,72,Moderate,0,Good,162,Unhealthy,22.2136,85.3877,PM2.5 AQI Value
Russian Federation,Gubkin,40,Good,1,Good,36,Good,0,Good,40,Good,51.2833,37.5667,PM2.5 AQI Value
Canada,Guelph,63,Moderate,2,Good,29,Good,6,Good,63,Moderate,43.55,-80.25,PM2.5 AQI Value
Philippines,Guiuan,52,Moderate,1,Good,19,Good,0,Good,52,Moderate,11.03,125.73,PM2.5 AQI Value
Pakistan,Gujrat,161,Unhealthy,3,Good,160,Unhealthy,1,Good,161,Unhealthy,32.5739,74.0789,PM2.5 AQI Value
India,Gulbarga,99,Moderate,1,Good,38,Good,0,Good,99,Moderate,17.329,76.825,PM2.5 AQI Value
Germany,Gundelfingen,63,Moderate,1,Good,31,Good,3,Good,63,Moderate,48.0425,7.8657,PM2.5 AQI Value
France,Guyancourt,69,Moderate,2,Good,27,Good,6,Good,69,Moderate,48.7714,2.0739,PM2.5 AQI Value
Viet Nam,Hanoi,181,Unhealthy,4,Good,181,Unhealthy,1,Good,145,Unhealthy for Sensitive Groups,21.0283,105.8542,Ozone AQI Value
Netherlands,Harderwijk,29,Good,1,Good,24,Good,6,Good,29,Good,52.35,5.6167,PM2.5 AQI Value
France,Harnes,51,Moderate,1,Good,32,Good,3,Good,51,Moderate,50.445,2.9058,PM2.5 AQI Value
United States of America,Harrisburg,67,Moderate,2,Good,20,Good,17,Good,67,Moderate,40.2752,-76.8843,PM2.5 AQI Value
United States of America,Harrisburg,67,Moderate,2,Good,20,Good,17,Good,67,Moderate,35.3125,-80.6485,PM2.5 AQI Value
Thailand,Hat Yai,61,Moderate,1,Good,23,Good,0,Good,61,Moderate,7.0167,100.4667,PM2.5 AQI Value
United States of America,Hayden,58,Moderate,1,Good,31,Good,3,Good,58,Moderate,47.768,-116.804,PM2.5 AQI Value
Germany,Herdecke,60,Moderate,1,Good,30,Good,6,Good,60,Moderate,51.4,7.4333,PM2.5 AQI Value
Germany,Herzberg,69,Moderate,1,Good,37,Good,3,Good,69,Moderate,51.6833,13.2333,PM2.5 AQI Value
United Kingdom of Great Britain and Northern Ireland,Heswall,33,Good,1,Good,33,Good,4,Good,24,Good,53.328,-3.099,Ozone AQI Value
Netherlands,Hillegom,52,Moderate,1,Good,35,Good,4,Good,52,Moderate,52.2833,4.5833,PM2.5 AQI Value
India,Himatnagar,157,Unhealthy,1,Good,37,Good,0,Good,157,Unhealthy,23.6,72.95,PM2.5 AQI Value
United States of America,Hollister,43,Good,1,Good,26,Good,5,Good,43,Good,36.8555,-121.3986,PM2.5 AQI Value
Kenya,Homa Bay,117,Unhealthy for Sensitive Groups,3,Good,33,Good,1,Good,117,Unhealthy for Sensitive Groups,-0.5167,34.45,PM2.5 AQI Value
United States of America,Hope,60,Moderate,2,Good,28,Good,6,Good,60,Moderate,33.6682,-93.5895,PM2.5 AQI Value
United States of America,Huntington Station,74,Moderate,2,Good,11,Good,27,Good,74,Moderate,40.8446,-73.405,PM2.5 AQI Value
Uganda,Ibanda,68,Moderate,2,Good,20,Good,0,Good,68,Moderate,-0.1347,30.495,PM2.5 AQI Value
Nigeria,Idah,60,Moderate,1,Good,21,Good,1,Good,60,Moderate,7.0833,6.75,PM2.5 AQI Value
United Republic of Tanzania,Ifakara,18,Good,0,Good,16,Good,0,Good,18,Good,-8.1,36.6833,PM2.5 AQI Value
Madagascar,Ikalamavony,22,Good,0,Good,22,Good,0,Good,14,Good,-21.15,46.5833,Ozone AQI Value
Peru,Imperial,20,Good,1,Good,20,Good,1,Good,17,Good,32.839,-115.572,Ozone AQI Value
Germany,Ingolstadt,62,Moderate,1,Good,26,Good,4,Good,62,Moderate,48.7631,11.425,PM2.5 AQI Value
Austria,Innsbruck,54,Moderate,1,Good,32,Good,1,Good,54,Moderate,47.2683,11.3933,PM2.5 AQI Value
Colombia,Ipiales,18,Good,0,Good,8,Good,0,Good,18,Good,0.8303,-77.6444,PM2.5 AQI Value
Brazil,Irati,38,Good,1,Good,8,Good,2,Good,38,Good,-25.4669,-50.6508,PM2.5 AQI Value
Turkey,Istanbul,59,Moderate,1,Good,33,Good,1,Good,59,Moderate,41.0136,28.955,PM2.5 AQI Value
Brazil,Itabirito,97,Moderate,2,Good,4,Good,7,Good,97,Moderate,-20.2528,-43.8008,PM2.5 AQI Value
Japan,Itako,46,Good,1,Good,46,Good,1,Good,45,Good,35.9471,140.5554,Ozone AQI Value
Brazil,Iturama,23,Good,1,Good,5,Good,1,Good,23,Good,-19.7278,-50.1958,PM2.5 AQI Value
Haiti,Jacmel,128,Unhealthy for Sensitive Groups,2,Good,14,Good,5,Good,128,Unhealthy for Sensitive Groups,18.2353,-72.5367,PM2.5 AQI Value
Mexico,Jimenez,61,Moderate,1,Good,17,Good,3,Good,61,Moderate,8.3333,123.8333,PM2.5 AQI Value
Kenya,Kabarnet,56,Moderate,2,Good,26,Good,0,Good,56,Moderate,0.494,35.744,PM2.5 AQI Value
India,Kadi,154,Unhealthy,1,Good,33,Good,0,Good,154,Unhealthy,23.3009,72.3322,PM2.5 AQI Value
Kenya,Kajiado,57,Moderate,1,Good,21,Good,0,Good,57,Moderate,-1.85,36.7833,PM2.5 AQI Value
Russian Federation,Kaluga,34,Good,1,Good,32,Good,0,Good,34,Good,54.5333,36.2667,PM2.5 AQI Value
Japan,Kameyama,50,Good,1,Good,27,Good,5,Good,50,Good,34.8558,136.4517,PM2.5 AQI Value
Japan,Kamisu,45,Good,1,Good,45,Good,1,Good,40,Good,35.8899,140.6645,Ozone AQI Value
United States of America,Fortuna Foothills,61,Moderate,1,Good,21,Good,7,Good,61,Moderate,32.6616,-114.3974,PM2.5 AQI Value
United States of America,Fraser,77,Moderate,2,Good,18,Good,17,Good,77,Moderate,42.5388,-82.9496,PM2.5 AQI Value
Mexico,Fresnillo,57,Moderate,1,Good,24,Good,0,Good,57,Moderate,23.175,-102.8675,PM2.5 AQI Value
Russian Federation,Frolovo,36,Good,1,Good,36,Good,0,Good,32,Good,49.7667,43.6667,Ozone AQI Value
nan,Futtsu,49,Good,1,Good,42,Good,2,Good,49,Good,35.3041,139.857,PM2.5 AQI Value
Uzbekistan,Gagarin,168,Unhealthy,1,Good,48,Good,0,Good,168,Unhealthy,55.55,35.0167,PM2.5 AQI Value
United States of America,Galt,60,Moderate,1,Good,28,Good,8,Good,60,Moderate,38.2698,-121.3004,PM2.5 AQI Value
Germany,Gauting,62,Moderate,2,Good,27,Good,5,Good,62,Moderate,48.0678,11.3739,PM2.5 AQI Value
Germany,Gelsenkirchen,58,Moderate,1,Good,24,Good,8,Good,58,Moderate,51.5167,7.1,PM2.5 AQI Value
Germany,Germering,66,Moderate,1,Good,38,Good,3,Good,66,Moderate,48.1333,11.3667,PM2.5 AQI Value
Italy,Giarre,52,Moderate,1,Good,43,Good,1,Good,52,Moderate,37.7333,15.1833,PM2.5 AQI Value
nan,Gingoog,45,Good,1,Good,25,Good,0,Good,45,Good,8.8167,125.1,PM2.5 AQI Value
Brazil,Encantado,24,Good,1,Good,13,Good,2,Good,24,Good,-29.2358,-51.87,PM2.5 AQI Value
Germany,Engelskirchen,61,Moderate,1,Good,34,Good,4,Good,61,Moderate,50.9833,7.4167,PM2.5 AQI Value
Germany,Enger,72,Moderate,2,Good,20,Good,11,Good,72,Moderate,52.1333,8.5667,PM2.5 AQI Value
United States of America,Exeter,55,Moderate,1,Good,28,Good,5,Good,55,Moderate,50.7256,-3.5269,PM2.5 AQI Value
United States of America,Exeter,55,Moderate,1,Good,28,Good,5,Good,55,Moderate,40.3139,-75.834,PM2.5 AQI Value
United States of America,Exeter,55,Moderate,1,Good,28,Good,5,Good,55,Moderate,42.9901,-70.9646,PM2.5 AQI Value
United States of America,Exeter,55,Moderate,1,Good,28,Good,5,Good,55,Moderate,36.2941,-119.1459,PM2.5 AQI Value
United States of America,Fairview,75,Moderate,2,Good,18,Good,20,Good,75,Moderate,40.8182,-74.0022,PM2.5 AQI Value
United States of America,Fairview,75,Moderate,2,Good,18,Good,20,Good,75,Moderate,40.1735,-76.8655,PM2.5 AQI Value
United States of America,Fairview,75,Moderate,2,Good,18,Good,20,Good,75,Moderate,37.6758,-122.0473,PM2.5 AQI Value
United States of America,Fairview,75,Moderate,2,Good,18,Good,20,Good,75,Moderate,42.0261,-80.2361,PM2.5 AQI Value
United States of America,Fairview,75,Moderate,2,Good,18,Good,20,Good,75,Moderate,45.5469,-122.439,PM2.5 AQI Value
United States of America,Fairview,75,Moderate,2,Good,18,Good,20,Good,75,Moderate,33.1399,-96.6117,PM2.5 AQI Value
United States of America,Fairview,75,Moderate,2,Good,18,Good,20,Good,75,Moderate,35.9815,-87.1291,PM2.5 AQI Value
Turkey,Fethiye,87,Moderate,1,Good,39,Good,2,Good,87,Moderate,36.6514,29.1231,PM2.5 AQI Value
Italy,Fiesole,68,Moderate,1,Good,40,Good,2,Good,68,Moderate,43.8072,11.2919,PM2.5 AQI Value
Germany,Flensburg,51,Moderate,1,Good,28,Good,4,Good,51,Moderate,54.7819,9.4367,PM2.5 AQI Value
South Africa,Fochville,154,Unhealthy,8,Good,17,Good,12,Good,154,Unhealthy,-26.4833,27.4833,PM2.5 AQI Value
United States of America,Folsom,69,Moderate,1,Good,26,Good,10,Good,69,Moderate,38.6668,-121.1422,PM2.5 AQI Value
United States of America,Forestville,46,Good,1,Good,30,Good,9,Good,46,Good,38.8518,-76.8708,PM2.5 AQI Value
United States of America,Forestville,46,Good,1,Good,30,Good,9,Good,46,Good,39.0711,-84.3389,PM2.5 AQI Value
Italy,Formello,98,Moderate,1,Good,45,Good,1,Good,98,Moderate,42.0833,12.4,PM2.5 AQI Value
United States of America,Fort Collins,55,Moderate,1,Good,11,Good,10,Good,55,Moderate,40.5477,-105.0656,PM2.5 AQI Value
Thailand,Chanthaburi,34,Good,0,Good,20,Good,0,Good,34,Good,12.6086,102.1039,PM2.5 AQI Value
Mexico,Chapala,47,Good,1,Good,9,Good,4,Good,47,Good,20.2961,-103.1911,PM2.5 AQI Value
United States of America,Charlottesville,68,Moderate,2,Good,20,Good,7,Good,68,Moderate,38.0375,-78.4855,PM2.5 AQI Value
Brazil,Charqueada,58,Moderate,2,Good,5,Good,5,Good,58,Moderate,-22.5097,-47.7781,PM2.5 AQI Value
United States of America,Chicopee,45,Good,1,Good,45,Good,2,Good,31,Good,42.1764,-72.5719,Ozone AQI Value
China,Chifeng,67,Moderate,2,Good,48,Good,0,Good,67,Moderate,42.2663,118.9223,PM2.5 AQI Value
India,Chikitigarh,156,Unhealthy,2,Good,77,Moderate,0,Good,156,Unhealthy,19.2023,84.6145,PM2.5 AQI Value
United States of America,Chillicothe,42,Good,1,Good,35,Good,6,Good,42,Good,39.3393,-82.9939,PM2.5 AQI Value
United States of America,Chillicothe,42,Good,1,Good,35,Good,6,Good,42,Good,39.7953,-93.5499,PM2.5 AQI Value
Mozambique,Chimoio,35,Good,1,Good,20,Good,0,Good,35,Good,-19.1167,33.45,PM2.5 AQI Value
Japan,Chitose,32,Good,1,Good,32,Good,1,Good,14,Good,42.821,141.6509,Ozone AQI Value
India,Chittaranjan,174,Unhealthy,1,Good,92,Moderate,1,Good,174,Unhealthy,23.87,86.87,PM2.5 AQI Value
Czechia,Chomutov,30,Good,1,Good,30,Good,2,Good,29,Good,50.4611,13.4167,Ozone AQI Value
Netherlands,Bloemendaal,40,Good,1,Good,27,Good,5,Good,40,Good,52.4,4.6,PM2.5 AQI Value
South Africa,Bloemhof,48,Good,0,Good,21,Good,3,Good,48,Good,-27.65,25.59,PM2.5 AQI Value
United States of America,Bloomingdale,55,Moderate,1,Good,12,Good,18,Good,55,Moderate,27.8784,-82.2624,PM2.5 AQI Value
United States of America,Bloomingdale,55,Moderate,1,Good,12,Good,18,Good,55,Moderate,41.9497,-88.0895,PM2.5 AQI Value
United States of America,Bloomingdale,55,Moderate,1,Good,12,Good,18,Good,55,Moderate,36.5793,-82.5096,PM2.5 AQI Value
United States of America,Blue Ash,45,Good,1,Good,31,Good,9,Good,45,Good,39.248,-84.3827,PM2.5 AQI Value
United States of America,Boca Raton,69,Moderate,1,Good,14,Good,9,Good,69,Moderate,26.3752,-80.108,PM2.5 AQI Value
Italy,Bollate,28,Good,1,Good,28,Good,3,Good,24,Good,45.55,9.1167,Ozone AQI Value
Italy,Bracciano,41,Good,1,Good,38,Good,4,Good,41,Good,42.1,12.1833,PM2.5 AQI Value
Spain,Brenes,37,Good,1,Good,31,Good,2,Good,37,Good,37.55,-5.8667,PM2.5 AQI Value
France,Brest,28,Good,0,Good,28,Good,1,Good,25,Good,52.1347,23.6569,Ozone AQI Value
France,Brest,28,Good,0,Good,28,Good,1,Good,25,Good,48.39,-4.49,Ozone AQI Value
Brazil,Brotas,49,Good,1,Good,5,Good,3,Good,49,Good,-22.2839,-48.1269,PM2.5 AQI Value
United States of America,Brown Deer,51,Moderate,2,Good,14,Good,16,Good,51,Moderate,43.1743,-87.975,PM2.5 AQI Value
United States of America,Buena Park,124,Unhealthy for Sensitive Groups,4,Good,7,Good,30,Good,124,Unhealthy for Sensitive Groups,33.8572,-118.0046,PM2.5 AQI Value
Bosnia and Herzegovina,Bugojno,28,Good,1,Good,28,Good,0,Good,18,Good,44.0572,17.4508,Ozone AQI Value
Turkey,Bulancak,33,Good,1,Good,33,Good,0,Good,30,Good,40.9333,38.2333,Ozone AQI Value
Netherlands,Bussum,38,Good,1,Good,28,Good,4,Good,38,Good,52.2833,5.1667,PM2.5 AQI Value
Philippines,Bustos,71,Moderate,1,Good,23,Good,1,Good,71,Moderate,14.95,120.9167,PM2.5 AQI Value
United States of America,Butler,50,Good,1,Good,31,Good,8,Good,50,Good,40.8616,-79.8962,PM2.5 AQI Value
United States of America,Butler,50,Good,1,Good,31,Good,8,Good,50,Good,41.0358,-75.9798,PM2.5 AQI Value
Russian Federation,Buynaksk,43,Good,1,Good,42,Good,0,Good,43,Good,42.8167,47.1167,PM2.5 AQI Value
Azerbaijan,Buzovna,73,Moderate,1,Good,38,Good,0,Good,73,Moderate,40.5161,50.1164,PM2.5 AQI Value
Italy,Calcinato,65,Moderate,1,Good,32,Good,4,Good,65,Moderate,45.4581,10.4146,PM2.5 AQI Value
Colombia,Caldas,125,Unhealthy for Sensitive Groups,4,Good,0,Good,8,Good,125,Unhealthy for Sensitive Groups,6.09,-75.638,PM2.5 AQI Value
Colombia,Caldas,125,Unhealthy for Sensitive Groups,4,Good,0,Good,8,Good,125,Unhealthy for Sensitive Groups,-21.9239,-46.3858,PM2.5 AQI Value
United States of America,Calumet City,79,Moderate,2,Good,10,Good,28,Good,79,Moderate,41.6134,-87.5505,PM2.5 AQI Value
Angola,Camacupa,154,Unhealthy,4,Good,28,Good,3,Good,154,Unhealthy,-12.0256,17.4686,PM2.5 AQI Value
Spain,Cambre,26,Good,0,Good,26,Good,2,Good,24,Good,43.283,-8.333,Ozone AQI Value
Brazil,Campo Maior,27,Good,1,Good,10,Good,1,Good,27,Good,-4.8278,-42.1689,PM2.5 AQI Value
Italy,Camponogara,46,Good,1,Good,31,Good,4,Good,46,Good,45.3833,12.0667,PM2.5 AQI Value
Brazil,Campos Gerais,51,Moderate,1,Good,5,Good,4,Good,51,Moderate,-21.235,-45.7589,PM2.5 AQI Value
United States of America,Canyon,39,Good,1,Good,26,Good,1,Good,39,Good,34.9911,-101.919,PM2.5 AQI Value
Brazil,Capela,35,Good,0,Good,13,Good,2,Good,35,Good,-10.5028,-37.0528,PM2.5 AQI Value
Brazil,Capela,35,Good,0,Good,13,Good,2,Good,35,Good,-9.4075,-36.0736,PM2.5 AQI Value
Brazil,Caraguatatuba,31,Good,1,Good,24,Good,0,Good,31,Good,-23.62,-45.4128,PM2.5 AQI Value
Italy,Carbonia,79,Moderate,1,Good,38,Good,0,Good,79,Moderate,39.1672,8.5222,PM2.5 AQI Value
Venezuela (Bolivarian Republic of),Carora,72,Moderate,1,Good,17,Good,1,Good,72,Moderate,10.1692,-70.0783,PM2.5 AQI Value
United States of America,Carrboro,60,Moderate,2,Good,29,Good,6,Good,60,Moderate,35.9259,-79.0878,PM2.5 AQI Value
Italy,Casarano,65,Moderate,1,Good,65,Moderate,0,Good,40,Good,40.0167,18.1667,Ozone AQI Value
Italy,Caserta,39,Good,1,Good,39,Good,4,Good,19,Good,41.0667,14.3333,Ozone AQI Value
